里程,Meters,Flags,Event,左高程(mm),右高程(mm)
100,19.25,0040,0000,-0.750,0.070
100,19.00,0040,0000,-0.720,0.320
100,18.75,0040,0000,-0.740,0.320
100,18.50,0040,0000,-0.660,0.000
100,18.25,0040,0000,-0.510,-0.030
100,18.00,0040,0000,-0.130,0.080
100,17.75,0040,0000,0.030,0.250
100,17.50,0040,0000,0.050,0.200
100,17.25,0040,0000,-0.120,0.060
100,17.00,0040,0000,-0.100,0.090
100,16.75,0040,0000,0.010,0.240
100,16.50,0040,0000,0.200,0.440
100,16.25,0040,0000,0.340,0.550
100,16.00,0040,0000,0.510,0.540
100,15.75,0040,0000,0.800,0.580
100,15.50,0040,0000,1.030,0.580
100,15.25,0040,0000,1.100,0.580
100,15.00,0040,0000,0.960,0.440
100,14.75,0040,0000,0.790,0.370
100,14.50,0040,0000,0.670,0.300
100,14.25,0040,0000,0.580,0.220
100,14.00,0040,0000,0.510,0.160
100,13.75,0040,0000,0.430,0.090
100,13.50,0040,0000,0.240,0.000
100,13.25,0040,0000,0.200,-0.060
100,13.00,0040,0000,0.070,-0.150
100,12.75,0040,0000,0.100,-0.120
100,12.50,0040,0000,-0.410,-0.160
100,12.25,0040,0000,-0.490,-0.090
100,12.00,0040,0000,-0.650,-0.080
100,11.75,0040,0000,-0.390,0.010
100,11.50,0040,0000,-0.480,0.000
100,11.25,0040,0000,-0.470,0.000
100,11.00,0040,0000,-0.390,0.000
100,10.75,0040,0000,-0.270,0.090
100,10.50,0040,0000,-0.150,0.160
100,10.25,0040,0000,0.000,0.240
100,10.00,0040,0000,0.130,0.330
100,9.75,0040,0000,0.180,0.410
100,9.50,0040,0000,0.120,0.410
100,9.25,0040,0000,-0.010,0.090
100,9.00,0040,0000,-0.080,0.020
100,8.75,0040,0000,-0.070,0.000
100,8.50,0040,0000,0.050,0.190
100,8.25,0040,0000,0.100,0.110
100,8.00,0040,0000,0.130,0.020
100,7.75,0040,0000,0.100,-0.020
100,7.50,0040,0000,-0.100,-0.030
100,7.25,0040,0000,-0.280,-0.030
100,7.00,0040,0000,-0.580,-0.140
100,6.75,0040,0000,-0.450,-0.240
100,6.50,0040,0000,-0.570,-0.440
100,6.25,0040,0000,-0.510,-0.590
100,6.00,0040,0000,-0.720,-0.750
100,5.75,0040,0000,-0.630,-0.810
100,5.50,0040,0000,-0.600,-0.890
100,5.25,0040,0000,-0.620,-0.950
100,5.00,0040,0000,-0.620,-0.870
100,4.75,0040,0000,-0.650,-0.790
100,4.50,0040,0000,-0.480,-0.660
100,4.25,0040,0000,-0.470,-0.640
100,4.00,0040,0000,-0.260,-0.450
100,3.75,0040,0000,-0.170,-0.370
100,3.50,0040,0000,0.000,-0.310
100,3.25,0040,0000,0.160,-0.340
100,3.00,0040,0000,0.320,-0.240
100,2.75,0040,0000,0.420,-0.080
100,2.50,0040,0000,0.370,0.040
100,2.25,0040,0000,0.360,0.130
100,2.00,0040,0000,0.270,0.130
100,1.75,0040,0000,0.220,0.160
100,1.50,0040,0000,0.160,0.170
100,1.25,0040,0000,0.200,0.230
100,1.00,0040,0000,0.180,0.240
100,0.75,0040,0000,0.180,0.210
100,0.50,0040,0000,0.180,0.190
100,0.25,0040,0000,0.330,0.170
100,0.00,0040,0000,0.260,0.130
99,999.75,0040,0000,0.120,0.000
99,999.50,0040,0000,-0.200,-0.130
99,999.25,0040,0000,-0.380,-0.210
99,999.00,0040,0000,-0.190,-0.140
99,998.75,0040,0000,-0.340,-0.170
99,998.50,0040,0000,-0.450,-0.180
99,998.25,0040,0000,-0.820,-0.300
99,998.00,0040,0000,-0.790,-0.310
99,997.75,0040,0000,-0.680,-0.340
99,997.50,0040,0000,-0.550,-0.240
99,997.25,0040,0000,-0.430,-0.110
99,997.00,0040,0000,-0.540,-0.080
99,996.75,0040,0000,-0.510,-0.010
99,996.50,0040,0000,-0.410,0.110
99,996.25,0040,0000,-0.070,0.310
99,996.00,0040,0000,0.090,0.390
99,995.75,0040,0000,0.140,0.400
99,995.50,0040,0000,0.230,0.470
99,995.25,0040,0000,0.310,0.440
99,995.00,0040,0000,0.470,0.390
99,994.75,0040,0000,0.470,0.270
99,994.50,0040,0000,0.430,0.150
99,994.25,0040,0000,0.380,0.220
99,994.00,0040,0000,0.370,0.240
99,993.75,0040,0000,0.340,0.310
99,993.50,0040,0000,0.230,0.180
99,993.25,0040,0000,0.170,0.170
99,993.00,0040,0000,0.170,0.130
99,992.75,0040,0000,0.170,0.110
99,992.50,0040,0000,0.150,0.040
99,992.25,0040,0000,0.060,-0.020
99,992.00,0040,0000,0.060,-0.100
99,991.75,0040,0000,0.030,-0.190
99,991.50,0040,0000,0.020,-0.200
99,991.25,0040,0000,0.000,-0.200
99,991.00,0040,0000,0.000,-0.150
99,990.75,0040,0000,0.020,-0.230
99,990.50,0040,0000,0.050,-0.210
99,990.25,0040,0000,0.050,-0.200
99,990.00,0040,0000,0.130,-0.040
99,989.75,0040,0000,0.130,-0.030
99,989.50,0040,0000,0.200,0.000
99,989.25,0040,0000,0.170,-0.070
99,989.00,0040,0000,0.170,-0.100
99,988.75,0040,0000,0.130,-0.170
99,988.50,0040,0000,0.070,-0.130
99,988.25,0040,0000,0.050,-0.080
99,988.00,0040,0000,0.000,-0.120
99,987.75,0040,0000,0.030,-0.090
99,987.50,0040,0000,0.080,-0.080
99,987.25,0040,0000,0.170,0.030
99,987.00,0040,0000,0.170,0.030
99,986.75,0040,0000,0.110,0.050
99,986.50,0040,0000,0.100,0.100
99,986.25,0040,0000,0.100,0.110
99,986.00,0040,0000,0.180,0.040
99,985.75,0040,0000,0.200,0.010
99,985.50,0040,0000,0.240,0.070
99,985.25,0040,0000,0.290,0.180
99,985.00,0040,0000,0.330,0.160
99,984.75,0040,0000,0.370,0.100
99,984.50,0040,0000,0.410,0.060
99,984.25,0040,0000,0.430,0.080
99,984.00,0040,0000,0.460,0.320
99,983.75,0040,0000,0.400,0.280
99,983.50,0040,0000,0.330,0.240
99,983.25,0040,0000,0.270,0.000
99,983.00,0040,0000,0.240,0.040
99,982.75,0040,0000,0.370,0.050
99,982.50,0040,0000,0.310,0.060
99,982.25,0040,0000,0.260,0.080
99,982.00,0040,0000,0.110,0.080
99,981.75,0040,0000,0.090,0.150
99,981.50,0040,0000,0.000,0.140
99,981.25,0040,0000,-0.030,0.260
99,981.00,0040,0000,-0.040,0.310
99,980.75,0040,0000,0.000,0.320
99,980.50,0040,0000,0.050,0.210
99,980.25,0040,0000,0.070,0.130
99,980.00,0040,0000,0.080,0.100
99,979.75,0040,0000,0.000,0.090
99,979.50,0040,0000,-0.020,0.090
99,979.25,0040,0000,0.060,0.080
99,979.00,0040,0000,0.100,0.100
99,978.75,0040,0000,0.130,0.140
99,978.50,0040,0000,0.060,0.330
99,978.25,0040,0000,0.100,0.440
99,978.00,0040,0000,0.120,0.440
99,977.75,0040,0000,0.150,0.290
99,977.50,0040,0000,0.120,0.170
99,977.25,0040,0000,0.000,0.090
99,977.00,0040,0000,0.000,0.060
99,976.75,0040,0000,0.090,0.200
99,976.50,0040,0000,0.210,0.270
99,976.25,0040,0000,0.240,0.250
99,976.00,0040,0000,0.190,0.100
99,975.75,0040,0000,0.180,0.000
99,975.50,0040,0000,0.180,0.000
99,975.25,0040,0000,0.130,0.000
99,975.00,0040,0000,0.080,0.060
99,974.75,0040,0000,0.000,0.090
99,974.50,0040,0000,-0.080,0.070
99,974.25,0040,0000,0.000,0.070
99,974.00,0040,0000,0.020,0.070
99,973.75,0040,0000,0.030,0.100
99,973.50,0040,0000,-0.050,0.060
99,973.25,0040,0000,-0.100,0.000
99,973.00,0040,0000,-0.130,-0.030
99,972.75,0040,0000,-0.200,-0.030
99,972.50,0040,0000,-0.270,0.020
99,972.25,0040,0000,-0.370,0.060
99,972.00,0040,0000,-0.440,0.140
99,971.75,0040,0000,-0.370,0.130
99,971.50,0040,0000,-0.350,0.000
99,971.25,0040,0000,-0.330,-0.240
99,971.00,0040,0000,-0.380,-0.390
99,970.75,0040,0000,-0.310,-0.410
99,970.50,0040,0000,-0.280,-0.270
99,970.25,0040,0000,-0.230,-0.060
99,970.00,0040,0000,-0.250,-0.050
99,969.75,0040,0000,-0.240,-0.100
99,969.50,0040,0000,-0.300,-0.250
99,969.25,0040,0000,-0.380,-0.270
99,969.00,0040,0000,-0.390,-0.250
99,968.75,0040,0000,-0.500,-0.320
99,968.50,0040,0000,-0.500,-0.460
99,968.25,0040,0000,-0.510,-0.530
99,968.00,0040,0000,-0.480,-0.490
99,967.75,0040,0000,-0.490,-0.340
99,967.50,0040,0000,-0.580,-0.280
99,967.25,0040,0000,-0.740,-0.290
99,967.00,0040,0000,-0.790,-0.310
99,966.75,0040,0000,-0.840,-0.310
99,966.50,0040,0000,-0.730,-0.330
99,966.25,0040,0000,-0.730,-0.390
99,966.00,0040,0000,-0.620,-0.480
99,965.75,0040,0000,-0.520,-0.500
99,965.50,0040,0000,-0.440,-0.480
99,965.25,0040,0000,-0.350,-0.390
99,965.00,0040,0000,-0.340,-0.380
99,964.75,0040,0000,-0.310,-0.320
99,964.50,0040,0000,-0.390,-0.360
99,964.25,0040,0000,-0.390,-0.290
99,964.00,0040,0000,-0.260,-0.310
99,963.75,0040,0000,-0.090,-0.290
99,963.50,0040,0000,0.100,-0.220
99,963.25,0040,0000,0.270,-0.130
99,963.00,0040,0000,0.370,0.010
99,962.75,0040,0000,0.530,0.100
99,962.50,0040,0000,0.610,0.210
99,962.25,0040,0000,0.650,0.270
99,962.00,0040,0000,0.620,0.330
99,961.75,0040,0000,0.530,0.360
99,961.50,0040,0000,0.580,0.400
99,961.25,0040,0000,0.590,0.310
99,961.00,0040,0000,0.640,0.260
99,960.75,0040,0000,0.630,0.190
99,960.50,0040,0000,0.610,0.170
99,960.25,0040,0000,0.540,0.060
99,960.00,0040,0000,0.440,0.050
99,959.75,0040,0000,0.290,0.060
99,959.50,0040,0000,0.240,0.100
99,959.25,0040,0000,0.170,0.030
99,959.00,0040,0000,0.170,-0.030
99,958.75,0040,0000,0.110,-0.070
99,958.50,0040,0000,0.200,-0.100
99,958.25,0040,0000,0.320,-0.060
99,958.00,0040,0000,0.440,-0.060
99,957.75,0040,0000,0.440,0.010
99,957.50,0040,0000,0.380,0.020
